あかからは みるへきものを かりかねの いつこはかりに なきてゆくらむ
あかさりし おもかけはかり うつしても ちきりはさてや やまのゐのみつ
あかさりし きみかにほひの こひしさに うめのはなをそ けさはをりつる
あかさりし そてかとにほふ うめかかに おもひなくさむ あかつきのそら
あかさりし そてのわかれの なみたより かたみかほなる つきそみにそふ
あかさりし にほひのこれる さむしろは ひとりぬるよも おきうかりけり
あかさりし はるのへたてと みるからに かきねもつらき やとのうのはな
あかさりし やみのうつつを かきりにて またもみさらむ ゆめそはかなき
あかしかた あまのとまやの けふりにも しはしそくもる あきのよのつき
あかしかた うらちはれゆく あさなきに きりにこきいる あまのつりふね
あかしかた しほかせあらき ゆふなみに とほしまかけて たつなきわたる
あかしかた せとのしほかせ ふきにけり かすみもはてぬ おきつしらなみ
あかしかた とわたるちとり をちかへり いくうらなみを かけてなくらむ
あかしかた なみのおとにや かよふらむ うらよりをちの をかのまつかせ
あかしかた はるこくふねの しまかくれ かすみにきゆる あとのしらなみ
あかしかた やまとしまねも みえさりき かきくもりにし そてのなみたに
あかすきく こころありとや しらさらむ とほさかりゆく ほとときすかな
あかすして けふのわかれを おもふこそ ゆくにまさりて かなしかりけれ
あかすして まくらのうへに わかれにし ゆめちをまたも たつねてしかな
あかすして わかるるそての はなそめに こころをかへぬ なつころもかな
あかすして わかれしひとの すむさとは さはこのみゆる やまのあなたか
あかすとも けふはかへりて やまさくら はなさかりとや ひとにつけまし
あかすのみ おもひおかるる かなしさに このころいたく つきをみるかな
あかすのみ みすててかへる さくらはな ちらぬもおなし わかれなりけり
あかすみて あくるなこりの をしけれは つきにもつらき とりのこゑかな
あかすみて わかるるときは いそのかみ ふるのやまへを こひやわたらむ
あかすみる はなのこのまを もるつきに おもかけとめよ くものうへひと
あかすみる やまさくらとの あけほのに なほあまりある ありあけのかけ
あかつきそ なほうきものと しられにし みやこをいてし ありあけのそら
あかつきと おもはてしもや ほとときす またなかそらの つきになくらむ
あかつきと つけのまくらを そはたてて きくもかなしき かねのおとかな
あかつきに つもりやまさる そともなる たけのゆきをれ こゑつつくなり
あかつきに なりやしぬらむ をくらやま しかのなくねに つきかたふきぬ
あかつきの おいのなみたに さそはれて ゆふつけとりも ねをやそふらむ
あかつきの かねそあはれを うちそふる うきよのゆめの さむるまくらに
あかつきの かねはまくらに おとすれと うきよのゆめは さめむともせす
あかつきの せきのあききり たちこめて みやこへたつる あふさかのやま
あかつきの つきみむとしも おもはねと みしひとゆゑに なかめられつつ
あかつきの つゆはまくらに おきけるを くさはのうへと なにおもひけむ
あかつきの とりそおもへは はつかしき ひとよはかりに なにいとひけむ
あかつきの とりのねきかぬ やまさとは ねさめそよはの ほとをしりける
あかつきの なからましかは しらつゆの おきてわひしき わかれせましや
あかつきの なみたやそらに たくふらむ そてにおちくる かねのおとかな
あかつきの ねさめになにの さそふらむ われはみぬよの とほきむかしを
あかつきの ほしのひかりも ほのかにて なこりをしたふ あさくらのこゑ
あかつきの ゆふつけとりそ あはれなる なかきねふりを おもふまくらに
あかつきの ゆふつけとりも しらつゆの おきてかなしき ためしにそなく
あかつきの わかれのきはに しられけり またとおもはぬ ひとのけしきは
あかつきの わかれはいつも からころも ぬれてそかへる そてのうらなみ
あかつきの わかれもしらぬ とりのねは なにのつらさに なきはしめけむ
あかつきは いかにちきりて むかしより わかれかなしき ときとなりけむ
あかつきは ゆくへもしらぬ わかれかな みねのあらしの よこくものそら
あかつきや ちかくなるらむ もろともに かならすもなく かはちとりかな
あかつきを たかののやまに まつほとや こけのしたにも ありあけのつき
あかてこそ とほさかるなれ ほとときす そをたにのちと たれにちきりて
あかてのみ はなにこころを つくすかな さりとてちらぬ はるはなけれと
あかなくに おきつるたにも あるものを ゆくへもしらぬ みちしはのつゆ
あかなくに ちりぬるはなの おもかけや かせにしられぬ さくらなるらむ
あかなくに またもこのよに めくりこは おもかはりすな やまのはのつき
あかなくに をれるはかりそ うめのはな かをたつねてや うくひすのなく
あかなくの にほひをちらす うめかえの はなにいとはぬ にはのはるかせ
あかねさす ひるはたゆたひ うはたまの よるのいとまに つめるねせりそ
あかれしの こころやふかき たなはたの としにひとたひ まれにのみあふ
あきかけて ふりにしやとの むらしくれ たのむかけなく ぬるるそてかな
